date,net_sales_actual,yhat,yhat_lower,yhat_upper,model,is_forecast
2025-05-06,2199.72,,,,prophet,False
2025-05-07,2548.05,,,,prophet,False
2025-05-08,1726.11,,,,prophet,False
2025-05-09,2810.71,,,,prophet,False
2025-05-10,3506.56,,,,prophet,False
2025-05-11,3421.47,,,,prophet,False
2025-05-12,0.0,,,,prophet,False
2025-05-13,2016.26,,,,prophet,False
2025-05-14,2103.06,,,,prophet,False
2025-05-15,1786.73,,,,prophet,False
2025-05-16,2979.82,,,,prophet,False
2025-05-17,3669.37,,,,prophet,False
2025-05-18,2523.87,,,,prophet,False
2025-05-19,0.0,,,,prophet,False
2025-05-20,2019.29,,,,prophet,False
2025-05-21,2206.63,,,,prophet,False
2025-05-22,2159.37,,,,prophet,False
2025-05-23,2808.17,,,,prophet,False
2025-05-24,4620.19,,,,prophet,False
2025-05-25,2521.06,,,,prophet,False
2025-05-26,0.0,,,,prophet,False
2025-05-27,2110.54,,,,prophet,False
2025-05-28,2288.46,,,,prophet,False
2025-05-29,2749.91,,,,prophet,False
2025-05-30,2527.17,,,,prophet,False
2025-05-31,3656.05,,,,prophet,False
2025-06-01,2669.06,,,,prophet,False
2025-06-02,0.0,,,,prophet,False
2025-06-03,1893.02,,,,prophet,False
2025-06-04,2250.67,,,,prophet,False
2025-06-05,2492.68,,,,prophet,False
2025-06-06,3632.5,,,,prophet,False
2025-06-07,4525.07,,,,prophet,False
2025-06-08,2845.47,,,,prophet,False
2025-06-09,0.0,,,,prophet,False
2025-06-10,2350.04,,,,prophet,False
2025-06-11,2574.02,,,,prophet,False
2025-06-12,2079.91,,,,prophet,False
2025-06-13,2575.41,,,,prophet,False
2025-06-14,3718.88,,,,prophet,False
2025-06-15,2818.78,,,,prophet,False
2025-06-16,0.0,,,,prophet,False
2025-06-17,2163.91,,,,prophet,False
2025-06-18,2479.12,,,,prophet,False
2025-06-19,2777.07,,,,prophet,False
2025-06-20,2647.34,,,,prophet,False
2025-06-21,5062.85,,,,prophet,False
2025-06-22,2216.61,,,,prophet,False
2025-06-23,0.0,,,,prophet,False
2025-06-24,1944.36,,,,prophet,False
2025-06-25,1882.39,,,,prophet,False
2025-06-26,1823.96,,,,prophet,False
2025-06-27,3112.02,,,,prophet,False
2025-06-28,4685.87,,,,prophet,False
2025-06-29,2733.01,,,,prophet,False
2025-06-30,0.0,,,,prophet,False
2025-07-01,2344.8,,,,prophet,False
2025-07-02,2805.87,,,,prophet,False
2025-07-03,3281.56,,,,prophet,False
2025-07-04,1334.77,,,,prophet,False
2025-07-05,4385.97,,,,prophet,False
2025-07-06,2223.21,,,,prophet,False
2025-07-07,0.0,,,,prophet,False
2025-07-08,2131.26,,,,prophet,False
2025-07-09,1916.13,,,,prophet,False
2025-07-10,2323.62,,,,prophet,False
2025-07-11,3257.69,,,,prophet,False
2025-07-12,4230.57,,,,prophet,False
2025-07-13,2329.78,,,,prophet,False
2025-07-14,0.0,,,,prophet,False
